level_0,index,Date,Type,Seconds,Duration,Description,Lat,Lon,full_address,neighbourhood,city,province,country_code,country,location_data_raw
404,14690,1/15/1990 22:00,light,60,maby 1 minute?,Light overhead in Sydney Nova Scotia,46.15,-60.166667000000004,"Teak Street, Cape Breton, Nova Scotia, B1N 2A1, Canada",,,Nova Scotia,ca,Canada,"{'place_id': '331327237266', 'licence': 'https://locationiq.com/attribution', 'lat': '46.148327', 'lon': '-60.166024', 'display_name': 'Teak Street, Cape Breton, Nova Scotia, B1N 2A1, Canada', 'boundingbox': ['46.145492', '46.148559', '-60.170353', '-60.164677'], 'importance': 0.175, 'address': {'road': 'Teak Street', 'county': 'Cape Breton', 'state': 'Nova Scotia', 'postcode': 'B1N 2A1', 'country': 'Canada', 'country_code': 'ca'}}"
405,14739,1/15/1999 17:00,diamond,600,10 minutes,We saw the saucer shaped object move slowly across the sky&#44 much slower than an airplane would. Also there was no noise like an airplan,51.083333,-114.08333300000001,"10 Street NW, Queens Park Village, Calgary, Alberta, T2K 1R8, Canada",Queens Park Village,Calgary,Alberta,ca,Canada,"{'place_id': '332627885326', 'licence': 'https://locationiq.com/attribution', 'lat': '51.084013', 'lon': '-114.084131', 'display_name': '10 Street NW, Queens Park Village, Calgary, Alberta, T2K 1R8, Canada', 'boundingbox': ['51.079635', '51.08879', '-114.087212', '-114.083092'], 'importance': 0.2, 'address': {'road': '10 Street NW', 'neighbourhood': 'Queens Park Village', 'city': 'Calgary', 'state': 'Alberta', 'postcode': 'T2K 1R8', 'country': 'Canada', 'country_code': 'ca'}}"
406,14762,1/15/2000 13:52,circle,30,30 seconds,We were returning home from the mall and my attention was drawn to a redish object moving at a very considerable speed in the clear ski,49.9,-119.483333,"870, Ethel St, Kelowna, Central Okanagan, British Columbia, V1Y 7K3, Canada",,Kelowna,British Columbia,ca,Canada,"{'place_id': '333884342896', 'licence': 'https://locationiq.com/attribution', 'lat': '49.899704', 'lon': '-119.483133', 'display_name': '870, Ethel St, Kelowna, Central Okanagan, British Columbia, V1Y 7K3, Canada', 'boundingbox': ['49.899704', '49.899704', '-119.483133', '-119.483133'], 'importance': 0.2, 'address': {'house_number': '870', 'road': 'Ethel St', 'city': 'Kelowna', 'county': 'Central Okanagan', 'state': 'British Columbia', 'postcode': 'V1Y 7K3', 'country': 'Canada', 'country_code': 'ca'}}"
407,14789,1/15/2002 01:00,light,120,2 minutes,Very cold&#44 small bright (buglike) light&#44 movement around streetlight.,53.633333,-113.63333300000001,"29, Mission Avenue, St. Albert, Alberta, T8N 1B7, Canada",,St. Albert,Alberta,ca,Canada,"{'place_id': '332043613694', 'osm_type': 'node', 'osm_id': '1119722633', 'licence': 'https://locationiq.com/attribution', 'lat': '53.633241', 'lon': '-113.63411', 'display_name': '29, Mission Avenue, St. Albert, Alberta, T8N 1B7, Canada', 'boundingbox': ['53.633241', '53.633241', '-113.63411', '-113.63411'], 'importance': 0.2, 'address': {'house_number': '29', 'road': 'Mission Avenue', 'city': 'St. Albert', 'state': 'Alberta', 'postcode': 'T8N 1B7', 'country': 'Canada', 'country_code': 'ca'}}"
408,14833,11/5/2003 21:00,flash,15,15 seconds,BURST OF GREEN GLOWING LIGHT IN THE NIGHT SKY,43.666667,-79.416667,"743, Manning Ave, Annex, Toronto, Toronto, Ontario, M6G 2W5, Canada",Annex,Toronto,Ontario,ca,Canada,"{'place_id': '333938358051', 'licence': 'https://locationiq.com/attribution', 'lat': '43.666635', 'lon': '-79.41669', 'display_name': '743, Manning Ave, Annex, Toronto, Toronto, Ontario, M6G 2W5, Canada', 'boundingbox': ['43.666635', '43.666635', '-79.41669', '-79.41669'], 'importance': 0.225, 'address': {'house_number': '743', 'road': 'Manning Ave', 'neighbourhood': 'Annex', 'city': 'Toronto', 'county': 'Toronto', 'state': 'Ontario', 'postcode': 'M6G 2W5', 'country': 'Canada', 'country_code': 'ca'}}"
409,14834,11/5/2003 21:00,light,10,10 secs,Light swooped in&#44 I was on highway 400 north at exit 88. Light was Greenish blue about400 feet off the ground&#44 thought it was going,43.666667,-79.416667,"743, Manning Ave, Annex, Toronto, Toronto, Ontario, M6G 2W5, Canada",Annex,Toronto,Ontario,ca,Canada,"{'place_id': '333938358051', 'licence': 'https://locationiq.com/attribution', 'lat': '43.666635', 'lon': '-79.41669', 'display_name': '743, Manning Ave, Annex, Toronto, Toronto, Ontario, M6G 2W5, Canada', 'boundingbox': ['43.666635', '43.666635', '-79.41669', '-79.41669'], 'importance': 0.225, 'address': {'house_number': '743', 'road': 'Manning Ave', 'neighbourhood': 'Annex', 'city': 'Toronto', 'county': 'Toronto', 'state': 'Ontario', 'postcode': 'M6G 2W5', 'country': 'Canada', 'country_code': 'ca'}}"
410,14835,1/15/2003 22:00,light,2,2 seconds,I saw a bright&#44 white&#44 large light travel across the sky&#44 like a falling plane&#44 and disappear.,50.45,-104.616667,"2505, 11th Avenue, Regina, Division No.  6, Saskatchewan, S4P 0K6, Canada",,Regina,Saskatchewan,ca,Canada,"{'place_id': '330714517245', 'licence': 'https://locationiq.com/attribution', 'lat': '50.449978', 'lon': '-104.617004', 'display_name': '2505, 11th Avenue, Regina, Division No.  6, Saskatchewan, S4P 0K6, Canada', 'boundingbox': ['50.449978', '50.449978', '-104.617004', '-104.617004'], 'importance': 0.2, 'address': {'house_number': '2505', 'road': '11th Avenue', 'city': 'Regina', 'county': 'Division No.  6', 'state': 'Saskatchewan', 'postcode': 'S4P 0K6', 'country': 'Canada', 'country_code': 'ca'}}"
411,14843,1/15/2004 02:00,light,7200,2 hours,Saw flashing colored lights hovering in the night sky,49.766667,-119.75,"4629, Minto St, Peachland, Central Okanagan, British Columbia, V0H 1X4, Canada",,Peachland,British Columbia,ca,Canada,"{'place_id': '330936836464', 'licence': 'https://locationiq.com/attribution', 'lat': '49.767029', 'lon': '-119.750176', 'display_name': '4629, Minto St, Peachland, Central Okanagan, British Columbia, V0H 1X4, Canada', 'boundingbox': ['49.767029', '49.767029', '-119.750176', '-119.750176'], 'importance': 0.2, 'address': {'house_number': '4629', 'road': 'Minto St', 'city': 'Peachland', 'county': 'Central Okanagan', 'state': 'British Columbia', 'postcode': 'V0H 1X4', 'country': 'Canada', 'country_code': 'ca'}}"
412,14852,11/5/2004 06:30,light,10,10 seconds,green light travelled through clouds for 8 seconds then exploded.,49.883333,-97.166667,"217, Ethelbert St, Wolseley, Winnipeg, Division No. 11, Manitoba, R3G 1V8, Canada",Wolseley,Winnipeg,Manitoba,ca,Canada,"{'place_id': '332340179034', 'licence': 'https://locationiq.com/attribution', 'lat': '49.883303', 'lon': '-97.166855', 'display_name': '217, Ethelbert St, Wolseley, Winnipeg, Division No. 11, Manitoba, R3G 1V8, Canada', 'boundingbox': ['49.883303', '49.883303', '-97.166855', '-97.166855'], 'importance': 0.2, 'address': {'house_number': '217', 'road': 'Ethelbert St', 'neighbourhood': 'Wolseley', 'city': 'Winnipeg', 'county': 'Division No. 11', 'state': 'Manitoba', 'postcode': 'R3G 1V8', 'country': 'Canada', 'country_code': 'ca'}}"
413,14889,1/15/2005 22:00,sphere,15,10-15 seconds,We were about to go sledding when a SHINY BROWN SPHERE OBJECT soared above US&#33,45.433333,-72.883333,"Rue des Frènes, Saint-Paul-d'Abbotsford, Rouville, Quebec, J0E 1A0, Canada",,Saint-Paul-d'Abbotsford,Quebec,ca,Canada,"{'place_id': '333350750616', 'licence': 'https://locationiq.com/attribution', 'lat': '45.433086', 'lon': '-72.882924', 'display_name': ""Rue des Frènes, Saint-Paul-d'Abbotsford, Rouville, Quebec, J0E 1A0, Canada"", 'boundingbox': ['45.432331', '45.434173', '-72.883042', '-72.882264'], 'importance': 0.2, 'address': {'road': 'Rue des Frènes', 'city': ""Saint-Paul-d'Abbotsford"", 'county': 'Rouville', 'state': 'Quebec', 'postcode': 'J0E 1A0', 'country': 'Canada', 'country_code': 'ca'}}"
414,14908,1/15/2006 14:00,other,120,2 minutes,my mother took this picture.  There is no way she could have doctored this or changed this image in any way.  Though she uses a compute,46.216667,-63.483332999999995,"36, Causeway Road, Victoria, Queens County, Prince Edward Island, C0A 2G0, Canada",,,Prince Edward Island,ca,Canada,"{'place_id': '19011996', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'node', 'osm_id': '1748028710', 'lat': '46.212265', 'lon': '-63.485442', 'display_name': '36, Causeway Road, Victoria, Queens County, Prince Edward Island, C0A 2G0, Canada', 'address': {'house_number': '36', 'road': 'Causeway Road', 'village': 'Victoria', 'county': 'Queens County', 'state': 'Prince Edward Island', 'postcode': 'C0A 2G0', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['46.212165', '46.212365', '-63.485542', '-63.485342']}"
415,15017,1/15/2009 22:00,circle,2,seconds,To my mind a no brainer multiple UFO sighting that has occured more than once in the same area.,55.483333,-125.983333,"99, Cottonwood Cove, North Tacla Lake 7, Bulkley-Nechako, British Columbia, V0J 2T0, Canada",,North Tacla Lake 7,British Columbia,ca,Canada,"{'place_id': '332957471610', 'licence': 'https://locationiq.com/attribution', 'lat': '55.484191', 'lon': '-125.981738', 'display_name': '99, Cottonwood Cove, North Tacla Lake 7, Bulkley-Nechako, British Columbia, V0J 2T0, Canada', 'boundingbox': ['55.484191', '55.484191', '-125.981738', '-125.981738'], 'importance': 0.175, 'address': {'house_number': '99', 'road': 'Cottonwood Cove', 'city': 'North Tacla Lake 7', 'county': 'Bulkley-Nechako', 'state': 'British Columbia', 'postcode': 'V0J 2T0', 'country': 'Canada', 'country_code': 'ca'}}"
416,15032,1/15/2010 13:00,light,40,40 sec,I saw a strange light at our local Girl Guide unit.,50.15,-95.883333,"22, Vanier Ave, Pinawa, Division No.  1, Manitoba, R0E 1K0, Canada",,Pinawa,Manitoba,ca,Canada,"{'place_id': '332159229014', 'licence': 'https://locationiq.com/attribution', 'lat': '50.150244', 'lon': '-95.883178', 'display_name': '22, Vanier Ave, Pinawa, Division No.  1, Manitoba, R0E 1K0, Canada', 'boundingbox': ['50.150244', '50.150244', '-95.883178', '-95.883178'], 'importance': 0.2, 'address': {'house_number': '22', 'road': 'Vanier Ave', 'city': 'Pinawa', 'county': 'Division No.  1', 'state': 'Manitoba', 'postcode': 'R0E 1K0', 'country': 'Canada', 'country_code': 'ca'}}"
417,15107,11/5/2012 21:00,oval,2700,45 minutes,At least 30 orange lights travel silently&#44 in a straight line&#44 over the night sky of Pickering&#44 Ontario&#44 Canada,43.866667,-79.033333,"55, Coles Avenue, Westney, Ajax, Ontario, L1Z 1E7, Canada",Westney,Ajax,Ontario,ca,Canada,"{'place_id': '332660650489', 'osm_type': 'way', 'osm_id': '687879920', 'licence': 'https://locationiq.com/attribution', 'lat': '43.866611', 'lon': '-79.033329', 'display_name': '55, Coles Avenue, Westney, Ajax, Ontario, L1Z 1E7, Canada', 'boundingbox': ['43.866611', '43.866611', '-79.033329', '-79.033329'], 'importance': 0.225, 'address': {'house_number': '55', 'road': 'Coles Avenue', 'neighbourhood': 'Westney', 'city': 'Ajax', 'state': 'Ontario', 'postcode': 'L1Z 1E7', 'country': 'Canada', 'country_code': 'ca'}}"
418,15108,11/5/2012 21:10,light,900,15 minutes+,Orange light balls over Pickering&#44 Ontario&#44 November 5&#44 2012.,43.866667,-79.033333,"55, Coles Avenue, Westney, Ajax, Ontario, L1Z 1E7, Canada",Westney,Ajax,Ontario,ca,Canada,"{'place_id': '332660650489', 'osm_type': 'way', 'osm_id': '687879920', 'licence': 'https://locationiq.com/attribution', 'lat': '43.866611', 'lon': '-79.033329', 'display_name': '55, Coles Avenue, Westney, Ajax, Ontario, L1Z 1E7, Canada', 'boundingbox': ['43.866611', '43.866611', '-79.033329', '-79.033329'], 'importance': 0.225, 'address': {'house_number': '55', 'road': 'Coles Avenue', 'neighbourhood': 'Westney', 'city': 'Ajax', 'state': 'Ontario', 'postcode': 'L1Z 1E7', 'country': 'Canada', 'country_code': 'ca'}}"
419,15130,11/5/2013 17:30,triangle,600,10 minutes,Strange orange triangle.,45.85,-66.466667,"15, Evans Drive, Oromocto, Sunbury, New Brunswick, E2V 0K2, Canada",,Oromocto,New Brunswick,ca,Canada,"{'place_id': '330456690120', 'licence': 'https://locationiq.com/attribution', 'lat': '45.84965', 'lon': '-66.466813', 'display_name': '15, Evans Drive, Oromocto, Sunbury, New Brunswick, E2V 0K2, Canada', 'boundingbox': ['45.84965', '45.84965', '-66.466813', '-66.466813'], 'importance': 0.2, 'address': {'house_number': '15', 'road': 'Evans Drive', 'city': 'Oromocto', 'county': 'Sunbury', 'state': 'New Brunswick', 'postcode': 'E2V 0K2', 'country': 'Canada', 'country_code': 'ca'}}"
420,15268,11/6/2004 13:05,other,20,20 seconds,Sited shiny dark grey angular saucer pea sized UFO at arms length  bobbing and wobbling in a linnear easterly 70 mph vector 13:05 hrs.,42.316667,-82.9,"2320, Tranquility Avenue, Windsor, Essex, Ontario, N8P 1T9, Canada",,Windsor,Ontario,ca,Canada,"{'place_id': '331622497053', 'osm_type': 'node', 'osm_id': '2168213971', 'licence': 'https://locationiq.com/attribution', 'lat': '42.316755', 'lon': '-82.89991', 'display_name': '2320, Tranquility Avenue, Windsor, Essex, Ontario, N8P 1T9, Canada', 'boundingbox': ['42.316755', '42.316755', '-82.89991', '-82.89991'], 'importance': 0.2, 'address': {'house_number': '2320', 'road': 'Tranquility Avenue', 'city': 'Windsor', 'county': 'Essex', 'state': 'Ontario', 'postcode': 'N8P 1T9', 'country': 'Canada', 'country_code': 'ca'}}"
421,15294,11/6/2005 19:17,changing,90,90 seconds,an object with a white light at the front and up to 6 red and white lights on the back was moving across the sky,44.233333,-76.483333,"104, Barrack Street, Kingston, Frontenac, Ontario, K7K 1G2, Canada",,Kingston,Ontario,ca,Canada,"{'place_id': '331689103916', 'osm_type': 'node', 'osm_id': '805740564', 'licence': 'https://locationiq.com/attribution', 'lat': '44.233504', 'lon': '-76.48358', 'display_name': '104, Barrack Street, Kingston, Frontenac, Ontario, K7K 1G2, Canada', 'boundingbox': ['44.233504', '44.233504', '-76.48358', '-76.48358'], 'importance': 0.2, 'address': {'house_number': '104', 'road': 'Barrack Street', 'city': 'Kingston', 'county': 'Frontenac', 'state': 'Ontario', 'postcode': 'K7K 1G2', 'country': 'Canada', 'country_code': 'ca'}}"
422,15304,1/16/2006 03:25,disk,180,3 min,UFO sighting on Bishop Grandin Boulevard,49.883333,-97.166667,"217, Ethelbert St, Wolseley, Winnipeg, Division No. 11, Manitoba, R3G 1V8, Canada",Wolseley,Winnipeg,Manitoba,ca,Canada,"{'place_id': '332340179034', 'licence': 'https://locationiq.com/attribution', 'lat': '49.883303', 'lon': '-97.166855', 'display_name': '217, Ethelbert St, Wolseley, Winnipeg, Division No. 11, Manitoba, R3G 1V8, Canada', 'boundingbox': ['49.883303', '49.883303', '-97.166855', '-97.166855'], 'importance': 0.2, 'address': {'house_number': '217', 'road': 'Ethelbert St', 'neighbourhood': 'Wolseley', 'city': 'Winnipeg', 'county': 'Division No. 11', 'state': 'Manitoba', 'postcode': 'R3G 1V8', 'country': 'Canada', 'country_code': 'ca'}}"
423,15402,11/6/2010 19:00,circle,10,5-10 seconds,I went outside on the evening of November 6&#442010 at around 7:00 PM(for a cigarette)&#44I then noticed a very bright light in the East&#44defi,51,-97.0,"55, Lundi Ave, Riverton, Division No. 18, Manitoba, Canada",,Riverton,Manitoba,ca,Canada,"{'place_id': '331389176777', 'licence': 'https://locationiq.com/attribution', 'lat': '51.000282', 'lon': '-97.000187', 'display_name': '55, Lundi Ave, Riverton, Division No. 18, Manitoba, Canada', 'boundingbox': ['51.000282', '51.000282', '-97.000187', '-97.000187'], 'importance': 0.2, 'address': {'house_number': '55', 'road': 'Lundi Ave', 'city': 'Riverton', 'county': 'Division No. 18', 'state': 'Manitoba', 'country': 'Canada', 'country_code': 'ca'}}"
424,15432,11/6/2011 19:10,light,60,1 minute,2 red fireballs,46.083333,-64.766667,"Station d'épuration de Moncton / Moncton Wastewater Treatment Facility, Route Hillsborough / Hillsborough Road, Point Park, Riverview, Albert County, New Brunswick, E1B 1S5, Canada",,,New Brunswick,ca,Canada,"{'place_id': '110641786', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'way', 'osm_id': '101660551', 'lat': '46.0786528', 'lon': '-64.7670989197186', 'display_name': ""Station d'épuration de Moncton / Moncton Wastewater Treatment Facility, Route Hillsborough / Hillsborough Road, Point Park, Riverview, Albert County, New Brunswick, E1B 1S5, Canada"", 'address': {'address29': ""Station d'épuration de Moncton / Moncton Wastewater Treatment Facility"", 'road': 'Route Hillsborough / Hillsborough Road', 'residential': 'Point Park', 'town': 'Riverview', 'county': 'Albert County', 'state': 'New Brunswick', 'postcode': 'E1B 1S5', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['46.0759521', '46.0813786', '-64.7700636', '-64.7648494']}"
425,15471,1/16/2012 23:00,cylinder,30,30 seconds,Crazy sighting.,49.13635335,-122.8213433,"14487, 73A Avenue, Newton, Surrey, Greater Vancouver, British Columbia, V3S 0M8, Canada",Newton,Surrey,British Columbia,ca,Canada,"{'place_id': '334218065571', 'osm_type': 'node', 'osm_id': '1102822022', 'licence': 'https://locationiq.com/attribution', 'lat': '49.136544', 'lon': '-122.821402', 'display_name': '14487, 73A Avenue, Newton, Surrey, Greater Vancouver, British Columbia, V3S 0M8, Canada', 'boundingbox': ['49.136544', '49.136544', '-122.821402', '-122.821402'], 'importance': 0.2, 'address': {'house_number': '14487', 'road': '73A Avenue', 'neighbourhood': 'Newton', 'city': 'Surrey', 'county': 'Greater Vancouver', 'state': 'British Columbia', 'postcode': 'V3S 0M8', 'country': 'Canada', 'country_code': 'ca'}}"
426,15501,1/16/2014 08:30,formation,1200,20 minutes,Metallic cloud cloaked object made up of three orb shaped components hovering in sky in broad daylight by international airport.,53.55,-113.5,"10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada",Central McDougall,Edmonton,Alberta,ca,Canada,"{'place_id': '332986084112', 'osm_type': 'node', 'osm_id': '877824266', 'licence': 'https://locationiq.com/attribution', 'lat': '53.549915', 'lon': '-113.500077', 'display_name': '10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada', 'boundingbox': ['53.549915', '53.549915', '-113.500077', '-113.500077'], 'importance': 0.2, 'address': {'house_number': '10404', 'road': '106 Avenue NW', 'neighbourhood': 'Central McDougall', 'city': 'Edmonton', 'state': 'Alberta', 'postcode': 'T5H 2X1', 'country': 'Canada', 'country_code': 'ca'}}"
427,15520,11/7/1972 05:20,disk,60,60 seconds,I have lived with this event my whole life and to this day even as a retired Military Air Traffic Controller&#44 I remember the event like,45.416667,-75.7,"255, Nepean Street, Centretown, Ottawa, Ottawa, Ontario, K2P 0B7, Canada",Centretown,Ottawa,Ontario,ca,Canada,"{'place_id': '331308888021', 'osm_type': 'way', 'osm_id': '482238181', 'licence': 'https://locationiq.com/attribution', 'lat': '45.416689', 'lon': '-75.699972', 'display_name': '255, Nepean Street, Centretown, Ottawa, Ottawa, Ontario, K2P 0B7, Canada', 'boundingbox': ['45.416689', '45.416689', '-75.699972', '-75.699972'], 'importance': 0.225, 'address': {'house_number': '255', 'road': 'Nepean Street', 'neighbourhood': 'Centretown', 'city': 'Ottawa', 'county': 'Ottawa', 'state': 'Ontario', 'postcode': 'K2P 0B7', 'country': 'Canada', 'country_code': 'ca'}}"
428,15598,11/7/2003 17:00,light,4,3 to 4 seconds,HBCCUFO CANADIAN REPORT:  Light shot across the  sky getting brighter,52.983333,-122.483333,"1287, Nelson Street, Quesnel, Cariboo, British Columbia, V2J 3C9, Canada",,Quesnel,British Columbia,ca,Canada,"{'place_id': '333538596485', 'osm_type': 'node', 'osm_id': '4269877939', 'licence': 'https://locationiq.com/attribution', 'lat': '52.983736', 'lon': '-122.481571', 'display_name': '1287, Nelson Street, Quesnel, Cariboo, British Columbia, V2J 3C9, Canada', 'boundingbox': ['52.983736', '52.983736', '-122.481571', '-122.481571'], 'importance': 0.175, 'address': {'house_number': '1287', 'road': 'Nelson Street', 'city': 'Quesnel', 'county': 'Cariboo', 'state': 'British Columbia', 'postcode': 'V2J 3C9', 'country': 'Canada', 'country_code': 'ca'}}"
429,15599,11/7/2003 17:00,fireball,3,3 seconds,HBCCUFO CANADIAN REPORT:  It was large and had a long flaming/ sparking tail.,49.25,-123.13333300000001,"1251, W King Edward Ave, Shaughnessy, Vancouver, Greater Vancouver, British Columbia, V6H 3B2, Canada",Shaughnessy,Vancouver,British Columbia,ca,Canada,"{'place_id': '332937248295', 'licence': 'https://locationiq.com/attribution', 'lat': '49.24977', 'lon': '-123.133178', 'display_name': '1251, W King Edward Ave, Shaughnessy, Vancouver, Greater Vancouver, British Columbia, V6H 3B2, Canada', 'boundingbox': ['49.24977', '49.24977', '-123.133178', '-123.133178'], 'importance': 0.2, 'address': {'house_number': '1251', 'road': 'W King Edward Ave', 'neighbourhood': 'Shaughnessy', 'city': 'Vancouver', 'county': 'Greater Vancouver', 'state': 'British Columbia', 'postcode': 'V6H 3B2', 'country': 'Canada', 'country_code': 'ca'}}"
430,15600,11/7/2003 17:11,fireball,3,3 seconds,Suspected meteorite - glowing debris descending very fast and steep,49.25,-122.95,"3681, Lynndale Cres, Government Road, Burnaby, Greater Vancouver, British Columbia, V5A 4N2, Canada",Government Road,Burnaby,British Columbia,ca,Canada,"{'place_id': '331569704763', 'licence': 'https://locationiq.com/attribution', 'lat': '49.250257', 'lon': '-122.949954', 'display_name': '3681, Lynndale Cres, Government Road, Burnaby, Greater Vancouver, British Columbia, V5A 4N2, Canada', 'boundingbox': ['49.250257', '49.250257', '-122.949954', '-122.949954'], 'importance': 0.2, 'address': {'house_number': '3681', 'road': 'Lynndale Cres', 'neighbourhood': 'Government Road', 'city': 'Burnaby', 'county': 'Greater Vancouver', 'state': 'British Columbia', 'postcode': 'V5A 4N2', 'country': 'Canada', 'country_code': 'ca'}}"
431,15603,11/7/2003 18:30,other,45,45 seconds,I have never seen anything like it before.,44.383333,-79.7,"45, Perry St, Barrie, Simcoe, Ontario, L4N 2G3, Canada",,Barrie,Ontario,ca,Canada,"{'place_id': '332384999849', 'licence': 'https://locationiq.com/attribution', 'lat': '44.383453', 'lon': '-79.700045', 'display_name': '45, Perry St, Barrie, Simcoe, Ontario, L4N 2G3, Canada', 'boundingbox': ['44.383453', '44.383453', '-79.700045', '-79.700045'], 'importance': 0.2, 'address': {'house_number': '45', 'road': 'Perry St', 'city': 'Barrie', 'county': 'Simcoe', 'state': 'Ontario', 'postcode': 'L4N 2G3', 'country': 'Canada', 'country_code': 'ca'}}"
432,15670,1/17/2005 20:35,fireball,240,2-4 min,12 ufos flew over head,51.083333,-114.08333300000001,"10 Street NW, Queens Park Village, Calgary, Alberta, T2K 1R8, Canada",Queens Park Village,Calgary,Alberta,ca,Canada,"{'place_id': '332627885326', 'licence': 'https://locationiq.com/attribution', 'lat': '51.084013', 'lon': '-114.084131', 'display_name': '10 Street NW, Queens Park Village, Calgary, Alberta, T2K 1R8, Canada', 'boundingbox': ['51.079635', '51.08879', '-114.087212', '-114.083092'], 'importance': 0.2, 'address': {'road': '10 Street NW', 'neighbourhood': 'Queens Park Village', 'city': 'Calgary', 'state': 'Alberta', 'postcode': 'T2K 1R8', 'country': 'Canada', 'country_code': 'ca'}}"
433,15690,1/17/2006 17:30,cigar,1200,20 min,it was a dark metalic long object&#44  the smoke trail was faint.,45.95,-66.633333,"222, Waterloo Row, Fredericton, York, New Brunswick, E3B 1Z3, Canada",,Fredericton,New Brunswick,ca,Canada,"{'place_id': '333357981089', 'licence': 'https://locationiq.com/attribution', 'lat': '45.949923', 'lon': '-66.633405', 'display_name': '222, Waterloo Row, Fredericton, York, New Brunswick, E3B 1Z3, Canada', 'boundingbox': ['45.949923', '45.949923', '-66.633405', '-66.633405'], 'importance': 0.2, 'address': {'house_number': '222', 'road': 'Waterloo Row', 'city': 'Fredericton', 'county': 'York', 'state': 'New Brunswick', 'postcode': 'E3B 1Z3', 'country': 'Canada', 'country_code': 'ca'}}"
434,15720,1/17/2008 01:00,sphere,600,one hour,Spherical cloud-like object with conical trailing bottom and a some light or brightness about it.,43.166667,-79.233333,"41, Tasker Street, St. Catharines, Ontario, L2R 4A1, Canada",,St. Catharines,Ontario,ca,Canada,"{'place_id': '333800295209', 'licence': 'https://locationiq.com/attribution', 'lat': '43.166739', 'lon': '-79.233121', 'display_name': '41, Tasker Street, St. Catharines, Ontario, L2R 4A1, Canada', 'boundingbox': ['43.166739', '43.166739', '-79.233121', '-79.233121'], 'importance': 0.2, 'address': {'house_number': '41', 'road': 'Tasker Street', 'city': 'St. Catharines', 'state': 'Ontario', 'postcode': 'L2R 4A1', 'country': 'Canada', 'country_code': 'ca'}}"
435,15721,11/7/2008 01:15,unknown,2400,40 minutes,red/green light object flashing/hovering in sky for 40 minutes/bright circular light below/amber lights flashing in another direction,60.716667,-135.05,"Legislative Assembly, Second Avenue, Riverdale, Whitehorse, Yukon, Unorganized, Yukon, Y1A 1X3, Canada",Riverdale,Whitehorse,Yukon,ca,Canada,"{'place_id': '186594108', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'way', 'osm_id': '455558134', 'lat': '60.7168554', 'lon': '-135.048454614027', 'display_name': 'Legislative Assembly, Second Avenue, Riverdale, Whitehorse, Yukon, Unorganized, Yukon, Y1A 1X3, Canada', 'address': {'address29': 'Legislative Assembly', 'road': 'Second Avenue', 'neighbourhood': 'Riverdale', 'city': 'Whitehorse', 'county': 'Yukon, Unorganized', 'state': 'Yukon', 'postcode': 'Y1A 1X3', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['60.7163543', '60.7173256', '-135.0500391', '-135.0480033']}"
436,15775,11/7/2010 15:00,oval,120,2 minutes,huge shiny oval shaped object seen in calgary,51.083333,-114.08333300000001,"10 Street NW, Queens Park Village, Calgary, Alberta, T2K 1R8, Canada",Queens Park Village,Calgary,Alberta,ca,Canada,"{'place_id': '332627885326', 'licence': 'https://locationiq.com/attribution', 'lat': '51.084013', 'lon': '-114.084131', 'display_name': '10 Street NW, Queens Park Village, Calgary, Alberta, T2K 1R8, Canada', 'boundingbox': ['51.079635', '51.08879', '-114.087212', '-114.083092'], 'importance': 0.2, 'address': {'road': '10 Street NW', 'neighbourhood': 'Queens Park Village', 'city': 'Calgary', 'state': 'Alberta', 'postcode': 'T2K 1R8', 'country': 'Canada', 'country_code': 'ca'}}"
437,15802,11/7/2012 02:00,unknown,3,3 seconds,Thousands hear aircraft dissapear over bonnyville alberta at the speed of light&#33,54.267778,-110.75083300000001,"Centre Suite Inns, Bonnyville, Bonnyville No. 87, Alberta, T9N 1Z2, Canada",,Bonnyville,Alberta,ca,Canada,"{'place_id': '333910378456', 'osm_type': 'way', 'osm_id': '444660109', 'licence': 'https://locationiq.com/attribution', 'lat': '54.267682', 'lon': '-110.751012', 'display_name': 'Centre Suite Inns, Bonnyville, Bonnyville No. 87, Alberta, T9N 1Z2, Canada', 'boundingbox': ['54.2674989', '54.2678323', '-110.751461', '-110.750538'], 'importance': 0.2, 'address': {'name': 'Centre Suite Inns', 'city': 'Bonnyville', 'county': 'Bonnyville No. 87', 'state': 'Alberta', 'postcode': 'T9N 1Z2', 'country': 'Canada', 'country_code': 'ca'}}"
